stock,period,RMSE,MAE,R2,total_return_no_stop,hit_rate_no_stop,sharpe_no_stop,drawdown_no_stop,final_capital_no_stop,num_trades_no_stop,profitable_trades_no_stop,unprofitable_trades_no_stop,avg_return_per_trade_no_stop,total_return_stop,hit_rate_stop,sharpe_stop,drawdown_stop,final_capital_stop,num_trades_stop,profitable_trades_stop,unprofitable_trades_stop,avg_return_per_trade_stop
ABEV3,pre_pandemia,0.0150468306634821,0.010942146912146,0.9995294437782328,0.0042304706573486,0.5040983606557377,0.0772090334138749,0.0022608323687092,100423.04706573486,244,123.0,121.0,1.7337994497330465e-05,0.0048234641742706,0.5040983606557377,0.0906928207871327,0.0022594962710997,100482.34641742706,244,123.0,121.0,1.9768295796191104e-05
ABEV3,durante_pandemia,0.0191906574381429,0.0143583964386598,0.999879237303598,0.0017059803009033,0.4938875305623472,0.0149000134189376,0.0038577519088694,100170.59803009032,409,202.0,207.0,4.171100980203717e-06,0.0081612650489807,0.4938875305623472,0.0825891463420503,0.0028269030080726,100816.12650489809,409,202.0,207.0,1.9954193273791474e-05
ABEV3,pos_pandemia,0.0137041142494884,0.0103144835902007,0.9996189844197376,0.0032600955963134,0.5075187969924813,0.0619493444423008,0.0017009628310397,100326.00955963136,266,135.00000000000003,130.99999999999997,1.2255998482381491e-05,0.0037171754169464,0.5075187969924813,0.0719447755106143,0.0017007591052511,100371.71754169464,266,135.00000000000003,130.99999999999997,1.3974343672730869e-05
GE,pre_pandemia,0.0977415806000149,0.0829725795863949,0.9995121938706548,0.0270607757568359,0.4919354838709677,0.0945437475319793,0.0085252245196383,102706.0775756836,248,122.0,126.0,0.0001091160312775,0.0364815601348876,0.4919354838709677,0.135686534261809,0.007073988600676,103648.15601348875,248,122.0,126.0,0.00014710306506
GE,durante_pandemia,0.1057236678072367,0.0865892848763544,0.9999436818988396,0.0159722824096679,0.46875,0.0265569121062992,0.0391679873156913,101597.2282409668,416,195.0,221.0,3.839490963862492e-05,0.0621657816696167,0.46875,0.1194079458933681,0.0101648779142438,106216.57816696168,416,195.0,221.0,0.0001494369751673
GE,pos_pandemia,0.0881171077515518,0.0759787623150878,0.9998930029684696,-0.0233805046081542,0.4738805970149253,-0.0773658228849436,0.0270943197082194,97661.94953918456,268,127.0,141.0,-8.724068883639664e-05,-0.0064605366897583,0.4738805970149253,-0.0244764842958696,0.017247867249998,99353.94633102416,268,127.0,141.0,-2.41064801856653e-05
VALE3,pre_pandemia,0.0638420593829968,0.0474094859834261,0.9988336011824896,-0.003789924621582,0.4959016393442623,-0.0197654963507436,0.0144042372632619,99621.0075378418,244,121.0,123.0,-1.5532477957303408e-05,0.0009827691841125,0.4959016393442623,0.0053156779328989,0.0106960965797703,100098.27691841124,244,121.0,123.0,4.027742557838315e-06
VALE3,durante_pandemia,0.1369233869057798,0.1089245722583928,0.9999478844598764,-0.0559491539001464,0.4474327628361858,-0.109275090759552,0.0762866422104341,94405.08460998537,409,183.0,226.0,-0.0001367949973108,-0.015282011604309,0.4474327628361858,-0.0344983918570253,0.0457222244516197,98471.79883956908,409,183.0,226.0,-3.736433155087795e-05
VALE3,pos_pandemia,0.1651956284720711,0.1429572920592597,0.999487294799866,0.02237886428833,0.5338345864661654,0.0547733212535902,0.023759495380348,102237.886428833,266,142.0,124.0,8.413106875312059e-05,0.0409878916168212,0.5338345864661654,0.1092448249282013,0.0176920638989125,104098.78916168211,266,142.0,124.0,0.0001540898181083
ITUB4,pre_pandemia,0.0067274655488046,0.0053258962664091,0.999967258496926,0.0012406787872314,0.5204918032786885,0.0118001264304587,0.0088751407982394,100124.06787872314,244,127.0,117.0,5.084749127997727e-06,0.0027076202011108,0.5204918032786885,0.0266054866345426,0.0078575100190288,100270.76202011108,244,127.0,117.0,1.1096804102913278e-05
