stock,period,modelo,rmse,mae,r2,total_return_no_stop,hit_rate_no_stop,sharpe_no_stop,drawdown_no_stop,final_capital_no_stop,num_trades_no_stop,profitable_trades_no_stop,unprofitable_trades_no_stop,avg_return_per_trade_no_stop,total_return_stop,hit_rate_stop,sharpe_stop,drawdown_stop,final_capital_stop,num_trades_stop,profitable_trades_stop,unprofitable_trades_stop,avg_return_per_trade_stop
ABEV3,pre_pandemia,ARIMA,0.3092998767029243,0.1745203800731836,0.8062523510954528,0.0036095418930053,0.5060728744939271,0.0649303616491847,0.0017846101735258,100360.95418930054,247,125.0,122.0,1.4613529931195834e-05,0.0043255479812622,0.5060728744939271,0.0805132207613445,0.0016115857111082,100432.55479812622,247,125.0,122.0,1.7512340005110148e-05
ABEV3,durante_pandemia,ARIMA,0.279217083593374,0.2077384527375876,0.9746737427725264,0.0070167188644409,0.5218446601941747,0.0611182289518261,0.0052675639243499,100701.67188644408,412,215.0,197.0,1.7030871030196403e-05,0.0138022653484344,0.5218446601941747,0.1410092861766053,0.0039502679751503,101380.22653484344,412,215.0,197.0,3.350064404959818e-05
ABEV3,pos_pandemia,ARIMA,0.2278043190947689,0.1504503920727583,0.8958842964274046,-0.0013933534622192,0.4646840148698885,-0.0258546943307417,0.0047866886330705,99860.66465377808,269,125.0,144.0,-5.179752647655161e-06,-8.62874412536621e-05,0.4646840148698885,-0.0017416247365114,0.0037620718297124,99991.37125587463,269,125.0,144.0,-3.207711570768108e-07
GE,pre_pandemia,ARIMA,2.892161942405833,0.9922498849869432,0.5810840793931803,-0.0120213584899902,0.4896265560165975,-0.0422011789553673,0.0226884685202947,98797.86415100098,241,118.0,123.0,-4.9881155560125456e-05,0.0104245854949951,0.4896265560165975,0.0450579596880766,0.0078828353712322,101042.45854949953,241,118.0,123.0,4.325554147300879e-05
GE,durante_pandemia,ARIMA,1.7995793550629993,1.14011352538036,0.9837263673144434,0.0032491302490234,0.5259259259259259,0.0054139931604069,0.0268985541517655,100324.91302490234,405,213.0,192.0,8.022543824749229e-06,0.0620877006149292,0.5259259259259259,0.127611540314191,0.0099257939184434,106208.77006149292,405,213.0,192.0,0.0001533029644813
GE,pos_pandemia,ARIMA,1.485102253166391,0.910357584526583,0.9699186978151504,0.0044333953857421,0.5019157088122606,0.0147922044261513,0.0183317598352037,100443.33953857422,261,131.0,130.0,1.698618921740302e-05,0.0160782860565185,0.5019157088122606,0.0577722920098752,0.0098719289686285,101607.82860565186,261,131.0,130.0,6.160262856903661e-05
VALE3,pre_pandemia,ARIMA,0.942265313339243,0.4932564710954455,0.746740648246849,0.0266704120635986,0.5303643724696356,0.1369413129780371,0.0063360650641791,102667.04120635986,247,131.0,116.0,0.0001079773767757,0.0306707446289062,0.5303643724696356,0.1636189586791068,0.0053915475306875,103067.07446289062,247,131.0,116.0,0.0001241730551777
VALE3,durante_pandemia,ARIMA,1.3752853469328854,0.9672351086003012,0.9947363512240556,0.0423918304443359,0.5558252427184466,0.0822155916440665,0.0165732838045417,104239.1830444336,412,229.0,183.0,0.0001028927923406,0.0720413225936889,0.5558252427184466,0.1575730790906729,0.0111551294995493,107204.1322593689,412,229.0,183.0,0.0001748575791108
VALE3,pos_pandemia,ARIMA,3.197419257753283,1.3478438004842077,0.8072221596661292,-0.0294201698303222,0.4721189591078067,-0.0716776031237319,0.0474862758585983,97057.98301696776,269,127.0,142.0,-0.0001093686610792,-0.0044771413040161,0.4721189591078067,-0.0123717824346847,0.0268722397138031,99552.2858695984,269,127.0,142.0,-1.6643647970320124e-05
PETR3,pre_pandemia,ARIMA,0.2662952691834457,0.1463141373032151,0.72941761503528,0.0003768339157104,0.4493927125506073,0.0087203923789312,0.0027948825020181,100037.68339157104,247,111.0,136.0,1.5256433834431145e-06,0.001341587524414,0.4493927125506073,0.0331885557065216,0.002157053617245,100134.1587524414,247,111.0,136.0,5.43152843892333e-06
